Estado,Regiao,Casos,Assasinatos,Atentados,Ameaças,Agressões,Ofensas,Criminalizações,Invasões,,,,,,,,,,
Minas Gerais,Sudeste,49,1,9,28,4,6,1,0,,Regiao,SUM de Casos,SUM de Assasinatos,SUM de Atentados,SUM de Ameaças,SUM de Agressões,SUM de Ofensas,SUM de Criminalizações,SUM de Invasões
Espírito Santo,Sudeste,12,4,2,5,1,0,0,0,,Centro-Oeste,73,0,4,37,5,17,8,3
Rio de Janeiro,Sudeste,69,6,21,21,6,13,2,0,,Nordeste,238,16,53,99,34,25,9,2
São Paulo,Sudeste,108,5,19,54,10,14,3,3,,Norte,74,1,16,38,12,11,3,1
Paraná,Sul,30,1,11,10,5,3,0,0,,Sudeste,238,16,51,108,21,33,6,3
Santa Catarina,Sul,34,0,7,17,5,1,2,2,,Sul,91,3,22,38,15,5,2,3
Rio Grande de Sul,Sul,27,2,4,11,5,1,0,1,,,,,,,,,,
Pará,Norte,25,0,11,10,1,3,0,0,,,,,,,,,,
Roraima,Norte,4,1,0,10,0,0,0,1,,,,,,,,,,
Amapa,Norte,1,0,0,0,1,0,0,0,,,,,,,,,,
Amazonas,Norte,18,0,1,8,6,2,1,0,,,,,,,,,,
Tocantins,Norte,13,0,4,4,1,4,0,0,,,,,,,,,,
Acre,Norte,9,0,0,5,2,1,1,0,,,,,,,,,,
Rondônia,Norte,4,0,0,1,1,1,1,0,,,,,,,,,,
Rio Grande do Norte,Nordeste,19,3,3,9,2,1,1,0,,,,,,,,,,
Paraíba,Nordeste,32,2,7,16,5,2,0,0,,,,,,,,,,
Pernambuco,Nordeste,35,4,10,12,3,4,2,0,,,,,,,,,,
Alagoas,Nordeste,17,1,5,8,2,0,1,0,,,,,,,,,,
Sergipe,Nordeste,12,0,0,7,1,3,1,0,,,,,,,,,,
Bahia,Nordeste,57,4,14,22,11,4,2,0,,,,,,,,,,
Maranhão,Nordeste,9,0,1,6,1,0,0,1,,,,,,,,,,
Piauí,Nordeste,22,0,5,8,3,3,2,1,,,,,,,,,,
Ceará,Nordeste,35,2,8,11,6,8,0,0,,,,,,,,,,
Mato Grosso,Centro-Oeste,16,0,1,10,2,2,1,0,,,,,,,,,,
Goiás,Centro-Oeste,20,0,2,10,1,4,0,3,,,,,,,,,,
Distrito Federal,Centro-Oeste,22,0,0,8,1,7,6,0,,,,,,,,,,
Mato Grosso do Sul,Centro-Oeste,15,0,1,9,1,4,1,0,,,,,,,,,,